Ketchup, 900 43 1.75 24.75 0.450
Bread, 250 40 6 49.4 1.7
Egg, 30 90 12.6 0.6 9.5
Tuna, 185 40 23.7 0 5.6 
Rice, 1000 40 7.2 78.7 0.4 
Chicken breast, 200 75 22.8 0 1.2
Onion, 500 45 1.4 6.6 0.3
Curry powder, 30 19 0 0 0
Tomato, 500 45 0.980 3.9 0.2
Pepper, 20 22 0 0 0
Potato, 2000 25 3 20 0
Peas, 200 24 6.5 8.6 0.4
Carrot, 1000 20 1 6.1 0.2 
Vegetable stock cube, 60 25 0 0 0
Butter, 125 29 0.1 1.2 39.2
Oats, 500 29 13.2 60.9 6.9
Cinnamon, 28 11 0 0 0
Milk, 1000 21 30.7 44.5 14
Apple, 1000 25 0.4 10.5 0.4
Sugar, 750 37 0 99.8 0 
Cheese, 1000 129 28.9 1.3 16
Chickpeas, 400 18 9 0 4 
Sphagetti, 500 30 9.9 72.6 2.1
Bacon, 1000 139 10.54 0.05 40
Garlic, 250 60 6.3 28.9 0.4
Banana, 1000 35 1.1 21.6 0.3
Sausage, 200 50 15.2 0 24.0
